date,volume,high,low,adj_close,close,open
2017-08-31,3348110000,2475.01,2462.65,2471.65,2471.65,2462.65
2017-09-01,2710730000,2480.38,2473.85,2476.55,2476.55,2474.42
2017-09-05,3490260000,2471.97,2446.55,2457.85,2457.85,2470.35
2017-09-06,3374410000,2469.64,2459.2,2465.54,2465.54,2463.83
2017-09-07,3353930000,2468.62,2460.29,2465.1,2465.1,2468.06
2017-09-08,3302490000,2467.11,2459.4,2461.43,2461.43,2462.25
2017-09-11,3291760000,2488.95,2474.52,2488.11,2488.11,2474.52
2017-09-12,3230920000,2496.77,2490.37,2496.48,2496.48,2491.94
2017-09-13,3368050000,2498.37,2492.14,2498.37,2498.37,2493.89
2017-09-14,3414460000,2498.43,2491.35,2495.62,2495.62,2494.56
2017-09-15,4853170000,2500.23,2493.16,2500.23,2500.23,2495.67
2017-09-18,3194300000,2508.32,2499.92,2503.87,2503.87,2502.51
2017-09-19,3249100000,2507.84,2503.19,2506.65,2506.65,2506.29
2017-09-20,3530010000,2508.85,2496.67,2508.24,2508.24,2506.84
2017-09-21,2930860000,2507.16,2499.0,2500.6,2500.6,2507.16
2017-09-22,2865960000,2503.47,2496.54,2502.22,2502.22,2497.26
2017-09-25,3297890000,2502.54,2488.03,2496.66,2496.66,2499.39
2017-09-26,3043110000,2503.51,2495.12,2496.84,2496.84,2501.04
2017-09-27,3456030000,2511.75,2495.91,2507.04,2507.04,2503.3
2017-09-28,3168620000,2510.81,2502.93,2510.06,2510.06,2503.41
2017-09-29,3211920000,2519.44,2507.99,2519.36,2519.36,2509.96
2017-10-02,3199730000,2529.23,2520.4,2529.12,2529.12,2521.2
2017-10-03,3068850000,2535.13,2528.85,2534.58,2534.58,2530.34
2017-10-04,3017120000,2540.53,2531.8,2537.74,2537.74,2533.48
2017-10-05,3045120000,2552.51,2540.02,2552.07,2552.07,2540.86
2017-10-06,2884570000,2549.41,2543.79,2549.33,2549.33,2547.44
2017-10-09,2483970000,2551.82,2541.6,2544.73,2544.73,2551.39
2017-10-10,2960500000,2555.23,2544.86,2550.64,2550.64,2549.99
2017-10-11,2976090000,2555.24,2547.95,2555.24,2555.24,2550.62
2017-10-12,3151510000,2555.33,2548.31,2550.93,2550.93,2552.88
2017-10-13,3149440000,2557.65,2552.09,2553.17,2553.17,2555.66
2017-10-16,2916020000,2559.47,2552.64,2557.64,2557.64,2555.57
2017-10-17,2889390000,2559.71,2554.69,2559.36,2559.36,2557.17
2017-10-18,2998090000,2564.11,2559.67,2561.26,2561.26,2562.87
2017-10-19,2990710000,2562.36,2547.92,2562.1,2562.1,2553.39
2017-10-20,3384650000,2575.44,2567.56,2575.21,2575.21,2567.56
2017-10-23,3211710000,2578.29,2564.33,2564.98,2564.98,2578.08
2017-10-24,3427330000,2572.18,2565.58,2569.13,2569.13,2568.66
2017-10-25,3874510000,2567.4,2544.0,2557.15,2557.15,2566.52
2017-10-26,3869050000,2567.07,2559.8,2560.4,2560.4,2560.08
2017-10-27,3887110000,2582.98,2565.94,2581.07,2581.07,2570.26
2017-10-30,3658870000,2580.03,2568.25,2572.83,2572.83,2577.75
2017-10-31,3827230000,2578.29,2572.15,2575.26,2575.26,2575.99
