date,volume,high,low,adj_close,close,open
12/12/19,2217305086,3176.28,3138.47,3168.57,3168.57,3141.23
12/13/19,1934682971,3182.68,3156.51,3168.8,3168.8,3166.65
12/16/19,2114772905,3197.71,3183.63,3191.45,3191.45,3183.63
12/17/19,1971590974,3198.22,3191.03,3192.52,3192.52,3195.4
12/18/19,2109637089,3198.48,3191.14,3191.14,3191.14,3195.21
12/19/19,1923928144,3205.48,3192.32,3205.37,3205.37,3192.32
12/20/19,3697537000,3225.65,3216.03,3221.22,3221.22,3223.33
12/23/19,1526843199,3227.78,3222.3,3224.01,3224.01,3226.05
12/24/19,604560645,3226.43,3220.51,3223.38,3223.38,3225.45
12/26/19,1047945052,3240.08,3227.2,3239.91,3239.91,3227.2
12/27/19,1101102056,3247.93,3234.37,3240.02,3240.02,3247.23
12/30/19,1181640579,3240.92,3216.57,3221.29,3221.29,3240.09
12/31/19,1285724433,3231.72,3212.03,3230.78,3230.78,3215.18
1/2/20,1813749343,3258.14,3235.53,3257.85,3257.85,3244.67
1/3/20,1733947876,3246.15,3222.34,3234.85,3234.85,3226.36
1/6/20,1833999145,3246.84,3214.64,3246.28,3246.28,3217.55
1/7/20,1849578843,3244.91,3232.43,3237.18,3237.18,3241.86
1/8/20,1921189956,3267.07,3236.67,3253.05,3253.05,3238.59
1/9/20,1806379088,3275.58,3263.67,3274.7,3274.7,3266.03
1/10/20,1623629246,3282.99,3260.86,3265.35,3265.35,3281.81
1/13/20,1730551341,3288.13,3268.43,3288.13,3288.13,3271.13
1/14/20,1924882221,3294.25,3277.19,3283.15,3283.15,3285.35
1/15/20,1781972412,3298.66,3280.69,3289.29,3289.29,3282.27
1/16/20,1780804696,3317.11,3302.82,3316.81,3316.81,3302.97
1/17/20,2097343426,3329.88,3318.86,3329.62,3329.62,3323.66
1/21/20,2190847523,3329.79,3316.61,3320.79,3320.79,3321.03
1/22/20,1852031183,3337.77,3320.04,3321.75,3321.75,3330.02
1/23/20,2034159847,3326.88,3301.87,3325.54,3325.54,3315.77
1/24/20,2098084732,3333.18,3281.53,3295.47,3295.47,3333.1
1/27/20,2136117899,3258.85,3234.5,3243.63,3243.63,3247.16
1/28/20,1927261468,3285.78,3253.22,3276.24,3276.24,3255.35
1/29/20,2084087513,3293.47,3271.89,3273.4,3273.4,3289.46
1/30/20,2253788999,3285.91,3242.8,3283.66,3283.66,3256.45
1/31/20,2678835839,3282.33,3214.68,3225.52,3225.52,3282.33
2/3/20,2080767120,3268.44,3235.66,3248.92,3248.92,3235.66
2/4/20,2140871720,3306.92,3280.61,3297.59,3297.59,3280.61
2/5/20,2252878600,3337.58,3313.75,3334.69,3334.69,3324.91
2/6/20,1953737177,3347.96,3334.39,3345.78,3345.78,3344.92
2/7/20,1846439738,3341.42,3322.12,3327.71,3327.71,3335.54
